Restaurants in Colorado,,,
Section,Category / City,Restaurants,Population
Restaurants in Colorado,Denver,"2,850","716,577"
Restaurants in Colorado,Colorado Springs,"1,621","488,664"
Restaurants in Colorado,Aurora,"1,115","395,052"
Restaurants in Colorado,Fort Collins,539,"170,376"
Restaurants in Colorado,Lakewood,465,"155,961"
Restaurants in Colorado,Boulder,447,"105,898"
Restaurants in Colorado,Westminster,364,"114,875"
Restaurants in Colorado,Pueblo,330,"111,077"
Restaurants in Colorado,Thornton,316,"144,922"
Restaurants in Colorado,Greeley,314,"112,609"
Restaurants in Colorado,Arvada,282,"121,414"
Restaurants in Colorado,Centennial,262,"106,883"